latitude; longitude;name
-33.54175519;-70.78731021;PI528
-33.54020524;-70.78506837;PI529
-33.53905709;-70.7834078;PI167
-33.53767929;-70.78141518;PI486
-33.53595699;-70.77892448;PI487
-33.53411981;-70.77626785;PI488
-33.53231846;-70.77590538;PI489
-33.53028286;-70.7727753;PI94
-33.52745667;-70.77488221;PI95
-33.52445672;-70.77542395;PI96
-33.52130098;-70.77540864;PI97
-33.51810029;-70.77511124;PI98
-33.51793623;-70.77048661;PI465
-33.51786368;-70.76844318;PI466
-33.51776053;-70.76553935;PI467
-33.51660972;-70.75935016;PI468
-33.51627808;-70.75682916;PI469
-33.51600751;-70.75348073;PI566
-33.51607684;-70.74896043;PI567
-33.51542099;-70.7474758;PI568
-33.51262836;-70.74733344;PI226
-33.51037623;-70.74721865;PI227
-33.50807774;-70.74708106;PI569
-33.50595936;-70.74655338;PI570
-33.50454711;-70.74620161;PI571
-33.50242872;-70.74567397;PI572
-33.49995727;-70.74505843;PI573
-33.49757407;-70.74446491;PI574
-33.49545567;-70.74393736;PI575
-33.49386687;-70.74354172;PI576
-33.49225637;-70.74195471;PI577
-33.49232796;-70.73883501;PI578
-33.49111038;-70.73843738;PI579
-33.48990532;-70.73761344;PI580
-33.48711239;-70.73747891;PI581
-33.48603126;-70.73742684;PI582
-33.48454828;-70.73771893;PI583
-33.48186944;-70.73647279;PI584
-33.48061027;-70.73401203;PI585
-33.47967422;-70.73219056;PI586
-33.47808095;-70.7290865;PI587
-33.47603694;-70.7256724;PI588
-33.47426216;-70.72338091;PI589
-33.47273742;-70.72108301;PI590
-33.4705863;-70.7176286;PI38
-33.46957275;-70.71572389;PI39
-33.46857401;-70.71367884;PI40
-33.46703043;-70.71051839;PI41
-33.4659862;-70.7083805;PI42
-33.46507156;-70.70592615;PI43
-33.4640327;-70.70294617;PI44
-33.462955;-70.70047177;PI540
-33.46158521;-70.69781426;PI541
-33.46025426;-70.6950093;PI542
-33.45943944;-70.69297004;PI543
-33.45921654;-70.69011349;PI544
-33.45913206;-70.68581162;PI545
-33.45894661;-70.68043844;PI546
-33.45781292;-70.66860562;PA289
-33.45711044;-70.66471606;PA290
-33.45721764;-70.66046487;PA433
-33.45819408;-70.65841359;PA434
-33.45798855;-70.65369125;PA465
-33.45484584;-70.6540362;PA23
-33.45215209;-70.65433184;PA24
-33.44955948;-70.65473704;PA466
-33.44634248;-70.65525483;PA467
-33.44403169;-70.65572065;PA468
-33.4428806;-70.65598494;PA213
-33.4407555;-70.65647286;PA665
-33.43843061;-70.65681809;PA218
-33.43627801;-70.65708383;PA219
-33.43324486;-70.65677303;PA220
-33.43314695;-70.65247279;PA299
-33.43384832;-70.64862246;PA300
