stop_code;stop_name;stop_lat;stop_lon
PB1;PB1 - Bolivia / Venezuela;-33.40455376;-70.62309515
PB2;PB2 - Av. Las Torres / Venezuela;-33.40245308;-70.62663925
PB3;PB3 - Av. El Salto / Reina De Chile;-33.40121867;-70.62973466
PB4;PB4 - San José / Pedro Donoso;-33.39950464;-70.631562
PB5;PB5 - María Eugenia / Pedro Donoso;-33.39864782;-70.63528585
PB6;PB6 - Campanario / Pedro Donoso;-33.39777252;-70.639021
PB7;PB7 - Parada 4 / (M) Dorsal;-33.39676345;-70.643284
PB8;PB8 - Jorge Pizarro / Av. Dorsal;-33.39616416;-70.64487071
PB9;PB9 - Lemuria / Av. Dorsal;-33.39572937;-70.64791389
PB10;PB10 - La Plata / Av. Dorsal;-33.39552333;-70.65077
PB11;PB11 - Card. José M. Caro / Av. Dorsal;-33.3953513;-70.653206
PB1587;PB1587 - El Guanaco / Av. Dorsal;-33.39577723;-70.657095
PB14;PB14 - Araguayas / Av. Dorsal;-33.39634716;-70.661463
PB15;PB15 - Cencerro / Av. Dorsal;-33.3969061;-70.665026
PB16;PB16 - Parada 2 / Dorsal - Independencia;-33.3976016;-70.66910051
PB18;PB18 - La Primavera / Roma;-33.39925008;-70.67364029
PB1469;PB1469 - Barón Juras R. / Roma;-33.40028253;-70.67650894
PB1563;PB1563 - Parada 4 / Norte Sur - Dorsal;-33.40211073;-70.68170972
PB21;PB21 - Camino Lo Ruiz / Av. Sen. Jaime Guzmán;-33.40275275;-70.685643
PB22;PB22 - Colón / Av. Sen. Jaime Guzmán;-33.40040662;-70.693226
PB23;PB23 - Av. Apóstol Santiago / Av. Sen. Jaime Guzmán;-33.39997557;-70.696493
PB24;PB24 - Caupolicán / Av. Sen. Jaime Guzmán;-33.40191348;-70.701178
PB108;PB108 - Parada 3 / Plaza Renca;-33.40516243;-70.703977
PJ1;PJ1 - S. Izquierdo / Lo Espinoza;-33.40952503;-70.70743086
PJ2;PJ2 - Carmen Lidia / Lo Espinoza;-33.41212539;-70.706268
PJ3;PJ3 - Calle 7 / Lo Espinoza;-33.41584242;-70.704666
PJ4;PJ4 - Antártica / Lo Espinoza;-33.41829444;-70.703587
PJ5;PJ5 - Parada 1 / Escuela Lo Franco;-33.42075737;-70.70211976
PJ6;PJ6 - Escuela Diego Portales;-33.42168808;-70.70210626
PJ7;PJ7 - S. Gutiérrez / Radal;-33.42445245;-70.702912
PJ8;PJ8 - Av. Mapocho / Radal;-33.42820043;-70.70398
PJ9;PJ9 - Cónsul Poinsett / Sergio Valdovinos;-33.42897139;-70.706618
PJ10;PJ10 - Parada 1 / Las Rejas - J.J. Pérez;-33.43187252;-70.70717056
PJ11;PJ11 - Vicuña Rozas / Sergio Valdovinos;-33.43598137;-70.70715
