101I|T-4-25-OP-5|PB1|234|
101I|T-4-25-OP-10|PB2|637|
101I|T-4-24-OP-5|PB3|991|
101I|T-4-23-OP-5|PB4|1385|
101I|T-4-23-OP-10|PB5|1744|
101I|T-4-23-OP-15|PB6|2105|
101I|E-4-9-OP-5|PB7|2519|
101I|T-4-9-OP-10|PB8|2679|
101I|T-4-9-OP-15|PB9|2966|
101I|T-4-9-OP-17|PB10|3232|
101I|T-4-9-OP-20|PB11|3461|
101I|T-4-9-OP-25|PB1587|3826|
101I|T-2-9-OP-10|PB14|4237|
101I|T-2-9-OP-15|PB15|4575|
101I|T-2-9-OP-20|PB16|4961|
101I|T-2-9-OP-30|PB18|5430|
101I|T-2-9-OP-35|PB1469|5721|
101I|E-2-9-OP-55|PB1563|6245|
101I|T-5-38-OP-10|PB21|6639|
101I|T-5-38-OP-20|PB22|7393|
101I|T-5-38-OP-25|PB23|7698|
101I|T-5-38-OP-30|PB24|8189|
101I|E-5-38-NS-5|PB108|8642|
101I|T-8-65-NS-5|PJ1|9361|
101I|T-8-65-NS-10|PJ2|9669|
101I|T-8-65-NS-15|PJ3|10107|
101I|T-8-65-NS-20|PJ4|10397|
101I|T-8-61-PO-20|PJ5|10813|
101I|T-8-70-NS-3|PJ6|10945|
101I|T-8-70-NS-5|PJ7|11261|
101I|T-8-70-NS-10|PJ8|11688|
101I|T-8-74-NS-5|PJ9|12052|
101I|E-8-74-NS-10|PJ10|12378|
101I|T-8-74-NS-15|PJ11|12833|
101I|T-9-74-NS-5|PJ12|13118|
101I|T-9-74-NS-10|PJ13|13426|
101I|T-9-52-NS-3|PJ14|13703|
101I|T-9-52-NS-5|PJ15|13919|
101I|L-9-28-10-NS|PJ1582|14135|
101I|T-9-52-NS-10|PJ16|14296|
101I|T-9-52-NS-15|PJ17|14593|
101I|E-9-52-NS-20|PJ18|15155|
101I|T-7-52-NS-5|PI1|15590|
101I|L-7-34-15-NS|PI1489|15994|
101I|T-7-48-OP-30|PI3|16364|
101I|T-7-48-OP-35|PI4|16584|
101I|T-7-48-OP-40|PI5|16913|
101I|T-7-48-OP-45|PI6|17164|
101I|T-7-48-OP-50|PI7|17377|
101I|T-7-48-OP-55|PI8|17670|
101I|T-13-375-NS-2|PI9|17943|
101I|T-13-375-NS-5|PI10|18220|
101I|T-13-375-NS-10|PI11|18528|
101I|T-13-375-NS-15|PI12|18840|
101I|L-12-25-20-NS|PI13|19297|
101I|L-12-25-25-NS|PI14|19513|
101I|L-12-25-27-NS|PI1440|19677|
101I|L-12-25-31-NS|PI15|19970|
101I|L-12-25-45-NS|PI16|20304|
101I|L-12-25-55-PO|PI17|20553|
101I|L-12-25-65-PO|PI18|20816|
101I|L-12-25-75-PO|PI19|21039|
101I|L-12-25-80-PO|PI20|21320|
101I|L-12-25-85-PO|PI21|21673|
101I|L-12-50-35-NS|PI1321|22035|
101I|L-12-50-40-NS|PI1323|22305|
101I|L-12-13-35-OP|PI24|22545|
101I|L-12-13-30-OP|PI25|22733|
101I|L-12-13-25-OP|PI1643|22990|
101I|L-12-13-20-OP|PI1642|23315|
101I|L-12-13-15-OP|PI1641|23510|
101I|L-12-13-5-OP|PI1635|23842|
101I|L-12-13-10-OP|PI1640|24081|
101I|L-12-24-5-NS|PI695|24548|
101I|L-12-24-10-NS|PI1242|24813|
