service;origin;destiny;color;color_id
101;RECOLETA ; CERRILLOS;00D5FF;1
101c;(M) BLANQUEADO ; CERRILLOS;00D5FF;1
102;(M) BLANQUEADO ; MALL PLAZA TOBALABA;00D5FF;1
103;PROVIDENCIA ; SAN JOAQUIN;00D5FF;1
104;PROVIDENCIA ; MALL PLAZA TOBALABA;00D5FF;1
105;RENCA ; LO ESPEJO;00D5FF;1
106;NUEVA SAN MARTIN ; LA FLORIDA;00D5FF;1
107;CIUDAD EMPRESARIAL ; AV. DEPARTAMENTAL;00D5FF;1
107c;CIUDAD EMPRESARIAL ; PLAZA RENCA;00D5FF;1
108;MAIPU ; LA FLORIDA;00D5FF;1
109;RENCA ; MAIPU;00D5FF;1
109N;(M) QUINTA NORMAL ; MAIPU;00D5FF;1
110;RENCA ; MAIPU;00D5FF;1
110c;RENCA ; PUDAHUEL SUR;00D5FF;1
111;(M) PAJARITOS; CIUDAD SATELITE;00D5FF;1
112;NONATO COO ; (M) VESPUCIO NORTE;00D5FF;1
112N;AV. LA FLORIDA ; RECOLETA;00D5FF;1
113;CIUDAD SATELITE ; (M) LA MONEDA;00D5FF;1
113e;CIUDAD SATELITE ; (M) LA MONEDA;00D5FF;1
114;PROVIDENCIA; MALL PLAZA TOBALABA;00D5FF;1
115;VILLA EL ABRAZO ; (M) LA MONEDA;00D5FF;1
116;HUECHURABA ; SANTIAGO CENTRO;00D5FF;1
117;(M) VESPUCIO NORTE ; SAN JOAQUIN;00D5FF;1
117c;HUECHURABA ; PROVIDENCIA;00D5FF;1
118;MAIPU ; MALL PLAZA VESPUCIO;00D5FF;1
119;MAPOCHO ; LO ESPEJO;00D5FF;1
120;RENCA ; (M) LA CISTERNA;00D5FF;1
121;MAPOCHO ; LO ESPEJO;00D5FF;1
125;(M) U. DE CHILE ; LO ESPEJO;00D5FF;1
126;(M) MANUEL MONTT ; LA HIGUERA;00D5FF;1
201;MALL PLAZA NORTE ; SAN BERNARDO;0067AC;1
201e;MALL PLAZA NORTE ; SAN BERNARDO;0067AC;1
202c;EL CORTIJO ; MAPOCHO;0067AC;1
203;HUECHURABA ; LA PINTANA;0067AC;1
203e;HUECHURABA ; LA PINTANA;0067AC;1
204;ALAMEDA ; GABRIELA;0067AC;1
204e;ALAMEDA ; GABRIELA;0067AC;1
205;SANTIAGO ; PUENTE ALTO;0067AC;1
205e;SANTIAGO ; PUENTE ALTO;0067AC;1
