paradas;servicios
PB1559;303R-307I-314I-B26R
PJ156;402R-406R-407R-422R-426R-427R-511R-J06R-J15cR
PJ931;J07I-J07cI-J07eI-J10R
PJ153;402R-406R-426R-427R
PJ920;J07I-J07eI-J10I
PJ121;402I-406I-407I-422I-422IPM-426I-427I
PJ124;402I-406I-407I-422I-422IPM-426I-427I
PJ69;110I-110cI-J14cI
PJ369;503R-503cR-511I-511IPM-J06I-J15cI
PJ319;503I-503IPM
PI228;348R-348RPRN-I01R-I01RPM-I04R-I04cR-I05R-I05RPRN-I09vR-I11R-I12R-I12RPRN1-I12RPRN2-I18R-I21R-I23R-I24R-I24RPRN
PI148;108R-109I-109NI-118R-118RPM-I03R-I10R
PI656;348I-348IPRN-I01I-I03I-I03IPM-I05I-I05IPRN-I09vI-I10I-I12I-I12IPRN-I18I-I23I-I24I
PI106;108I-109NR-109R-118I-118IPM
PI955;348I-348IPRN-I05I-I05IPRN
PI657;I01I-I03I-I03IPM-I04I-I10I-I18I
PI222;110I-111I-506R-506eR-506vR
PI419;106R-401NR-401R-405R-413cR-413vR-431cR-431vR
PI386;106I-106IPM-401I-401NI-405I-413cI-413vI-421I-431cI-431vI
PI230;110R-111R-506I-506eI-506vI-I09I-I09NR-I09cI
PC1016;401NR-401R-406R-407R-412R-418R-418RPT-421R-426R-427R-503R
PC488;501R-504R
PC1022;D12I-D12R-D16I-D16R
PC475;501I-504I
PC1147;405I-405cI-405cR
PC155;117R-117RPRN-117cI-117cR-401I-401NI-406I-407I-421I-426I-427I-429cI-429cR-430I-C10eI-C10eR
PC145;122I-122R-213eR-307I-307eR-314I-314eR-315eR-315eRFP
PC86;210R-221eI-403R-516R
PC738;C06R-C06RPM
PC618;C01I-C01R-C05I-C05R-C05RPM-C07I-C07IPM-C07R-C07RPM
PC978;412R-418R-418RPT-429R-429RPT-D08I-D08R-D08cI-D08cR-D15I-D15R
PC906;C01R-C11R-C15R-C18R-C20R-C22R-C22RPM
PC74;112NR-112R-420eI-425I
PC876;C11I-C15I-C20I
PC57;112I-112NI-219eI-219eITNOC-425R-C18I
PC617;C14I-C14R
PC182;401NR-401R-406R-406cR-407R-421R-426R-427R-430R-C01R-C01cR-C02I-C02IPM
PC586;421I-C02R-C02RPM
PC160;401I-401NI-406I-406cI-407I-426I-427I-430I-C01I-C01cI
PD189;112NR-112R-225I-505I-505IPM-D12R
PD187;112NR-112R-216R-219eR-D02R-D02RPT-D12R
PD208;210R-213eR-221eI-227R-516R
PD103;104R-212R-224R-D09IPT
PD553;506R-506eR-506vR-507R-507cR-510R-511R-516R
PD564;506R-506eR-506vR-507R-507cR-510R-516R
PD524;506I-506eI-506vI-507I-507cI-510I-510IPM
PD535;506I-506eI-506vI-507I-507cI-510I-510IPM-511I-511IPM-516I-516IPM
PD518;505R-505RPT-513R-513RPT-D03R-D09I-D09IPT
PD453;403R-422R
PD451;403R-422R
PD337;227R-403I-422I-505I-513I-514I-514cI-D03I
PD410;403I-422I-505I-513I-D03I-D09R
PD107;104I
PD178;112I-112NI-216I-219eI-219eITNOC-D01I-D01IPM-D02I-D02IPM-D12I
PB1563;101I-107I-107cI-B17R
PA177;210I-213eI-221eR
PA84;119I-121I-202cI-230I-308I-B03I
PA48;201I-201eI-214eR-223I-301I
PA170;210I-213eI-221eR-307I-307eI-314I-314eI-315eI-403I-403IPM-422IPM-502cI-516I-516IPM
