paradero;servicio;distancia
PB1;101I;234
PB2;101I;637
PB3;101I;991
PB4;101I;1385
PB5;101I;1744
PB6;101I;2105
PB7;101I;2519
PB8;101I;2679
PB9;101I;2966
PB10;101I;3232
PB11;101I;3461
PB1587;101I;3826
PB14;101I;4237
PB15;101I;4575
PB16;101I;4961
PB18;101I;5430
PB1469;101I;5721
PB1563;101I;6245
PB21;101I;6639
PB22;101I;7393
PB23;101I;7698
PB24;101I;8189
PB108;101I;8642
PJ1;101I;9361
PJ2;101I;9669
PJ3;101I;10107
PJ4;101I;10397
PJ5;101I;10813
PJ6;101I;10945
PJ7;101I;11261
PJ8;101I;11688
PJ9;101I;12052
PJ10;101I;12378
PJ11;101I;12833
PJ12;101I;13118
PJ13;101I;13426
PJ14;101I;13703
PJ15;101I;13919
PJ1582;101I;14135
PJ16;101I;14296
PJ17;101I;14593
PJ18;101I;15155
PI1;101I;15590
PI1489;101I;15994
PI3;101I;16364
PI4;101I;16584
PI5;101I;16913
PI6;101I;17164
PI7;101I;17377
PI8;101I;17670
PI9;101I;17943
PI10;101I;18220
PI11;101I;18528
PI12;101I;18840
PI13;101I;19297
PI14;101I;19513
PI1440;101I;19677
PI15;101I;19970
PI16;101I;20304
PI17;101I;20553
PI18;101I;20816
PI19;101I;21039
PI20;101I;21320
PI21;101I;21673
PI1321;101I;22035
PI1323;101I;22305
PI24;101I;22545
PI25;101I;22733
PI1643;101I;22990
PI1642;101I;23315
PI1641;101I;23510
PI1635;101I;23842
PI1640;101I;24081
PI695;101I;24548
PI1242;101I;24813
PI1243;101I;25059
PI883;101R;164
PI884;101R;453
PI1646;101R;726
PI1644;101R;936
PI1636;101R;1188
PI889;101R;1496
PI890;101R;1810
PI891;101R;2000
PI892;101R;2267
PI26;101R;2455
PI27;101R;2656
PI28;101R;2968
PI29;101R;3189
PI30;101R;3529
PI31;101R;3787
PI32;101R;4036
PI33;101R;4344
PI1441;101R;4549
PI34;101R;4759
PI1419;101R;5278
PI35;101R;5601
PI36;101R;5738
PI37;101R;6129
PI38;101R;6372
PI39;101R;6581
PI40;101R;6791
PI41;101R;7130
PI42;101R;7357
PI43;101R;7610
PI44;101R;7898
PI45;101R;8420
PI46;101R;8892
PI47;101R;9499
PI48;101R;9791
PJ19;101R;10124
PJ20;101R;10409
PJ21;101R;10684
PJ22;101R;11012
PJ23;101R;11269
PJ24;101R;11603
PJ25;101R;12046
PJ26;101R;12525
PJ27;101R;12835
PJ28;101R;13284
PJ29;101R;13697
PJ30;101R;14028
PJ31;101R;14447
PJ32;101R;14660
PB25;101R;15484
PB26;101R;15731
PB27;101R;16149
PB28;101R;16535
PB29;101R;17286
PB31;101R;17734
PB32;101R;18293
PB1586;101R;18731
PB35;101R;19038
PB36;101R;19412
PB37;101R;19779
PB38;101R;20192
PB40;101R;20588
PB41;101R;20893
PB42;101R;21098
PB43;101R;21390
PB44;101R;21578
PB45;101R;22071
PB46;101R;22385
PB47;101R;22835
PB48;101R;23265
PB49;101R;23524
PB50;101R;23897
PJ21;101cI;0
PJ180;101cI;280
PJ133;101cI;452
PJ1738;101cI;651
PJ978;101cI;871
PJ979;101cI;1049
PJ33;101cI;1327
PI1678;101cI;1832
PJ17;101cI;2115
PJ18;101cI;2675
PI1;101cI;3110
PI1489;101cI;3514
PI3;101cI;3884
PI4;101cI;4104
PI5;101cI;4433
PI6;101cI;4684
PI7;101cI;4897
PI8;101cI;5190
PI9;101cI;5463
PI10;101cI;5740
PI11;101cI;6048
PI12;101cI;6360
PI13;101cI;6817
PI14;101cI;7033
PI1440;101cI;7197
PI15;101cI;7490
PI16;101cI;7824
PI17;101cI;8073
PI18;101cI;8336
PI19;101cI;8559
PI20;101cI;8840
PI21;101cI;9193
PI1321;101cI;9555
PI1323;101cI;9826
PI24;101cI;10065
PI25;101cI;10253
PI1643;101cI;10511
PI1642;101cI;10836
PI1641;101cI;11030
PI1635;101cI;11362
PI1640;101cI;11601
PI695;101cI;12068
PI1242;101cI;12333
PI1243;101cI;12579
PI883;101cR;164
PI884;101cR;453
PI1646;101cR;726
PI1644;101cR;936
PI1636;101cR;1188
PI889;101cR;1496
PI890;101cR;1810
PI891;101cR;2000
PI892;101cR;2267
PI26;101cR;2455
PI27;101cR;2656
PI28;101cR;2968
PI29;101cR;3189
PI30;101cR;3529
PI31;101cR;3787
PI32;101cR;4036
PI33;101cR;4344
PI1441;101cR;4549
PI34;101cR;4762
PI1419;101cR;5278
PI35;101cR;5600
PI36;101cR;5738
PI37;101cR;6128
PI38;101cR;6372
PI39;101cR;6581
PI40;101cR;6791
PI41;101cR;7130
PI42;101cR;7357
PI43;101cR;7610
PI44;101cR;7898
PI45;101cR;8433
PI46;101cR;8905
PI47;101cR;9512
PI48;101cR;9804
PJ19;101cR;10136
PJ20;101cR;10421
PJ21;101cR;10696
PJ21;102I;0
PJ180;102I;280
PJ133;102I;452
PJ1738;102I;651
PJ978;102I;871
PJ979;102I;1049
PJ33;102I;1327
PI1678;102I;1832
PJ17;102I;2115
PJ18;102I;2675
PI1;102I;3110
PI2;102I;3489
PI49;102I;3835
PI50;102I;4286
PI51;102I;4782
PI53;102I;5769
PI1375;102I;6050
PI55;102I;6348
PI56;102I;6721
PH2;102I;7245
PH3;102I;7799
PH4;102I;8207
PH5;102I;8557
PH6;102I;8799
PH1454;102I;9087
PH7;102I;9370
PH8;102I;9619
PH9;102I;9989
PH10;102I;10238
PH11;102I;10475
PH12;102I;10892
PH13;102I;11165
PH14;102I;11473
PH15;102I;11879
PH16;102I;12037
PH17;102I;12404
PH18;102I;12579
PH19;102I;12998
PH1456;102I;13223
PH1491;102I;13540
PH21;102I;13729
PH22;102I;13992
PE1;102I;14524
PE2;102I;15016
PE3;102I;15660
PE4;102I;16054
PE5;102I;16382
PE1292;102I;16742
PE7;102I;17312
PE8;102I;17584
PE9;102I;17819
PE10;102I;18347
PE11;102I;18768
PE12;102I;19122
PE13;102I;19534
PE14;102I;19926
PE15;102I;20397
PE16;102I;20904
PE17;102I;21347
PE18;102I;21720
PE19;102I;21994
PE20;102I;22385
PE21;102I;22588
PE22;102I;22926
PF1;102I;23300
PF2;102I;23613
PF3;102I;24196
PF4;102I;24738
PF5;102R;102
PF829;102R;414
PF6;102R;630
PF7;102R;1202
PF8;102R;1749
PF9;102R;2051
PF10;102R;2369
PF11;102R;2645
PF12;102R;2937
PF13;102R;3340
PF15;102R;3949
PE23;102R;4424
PE24;102R;4879
PE25;102R;5390
PE26;102R;5951
PE27;102R;6252
PE28;102R;6633
PE29;102R;6949
PE1287;102R;7177
PE1383;102R;7363
PE30;102R;7541
PE31;102R;7793
PE32;102R;8120
PE33;102R;8546
PD1444;102R;9018
PD1;102R;9375
PD2;102R;9673
PD1161;102R;10136
PD4;102R;10469
PD5;102R;10988
PH45;102R;11370
PH23;102R;11613
PH24;102R;11986
PH1455;102R;12225
