id;latitud;longitud;sec
101I;-33.406175;-70.623244;1
101I;-33.405073;-70.622375;2
101I;-33.402034;-70.627497;3
101I;-33.402292;-70.628432;4
101I;-33.401869;-70.629007;5
101I;-33.401154;-70.629958;6
101I;-33.400082;-70.629154;7
101I;-33.396892;-70.643181;8
101I;-33.396311;-70.644444;9
101I;-33.395295;-70.652423;10
101I;-33.3958;-70.657556;11
101I;-33.397543;-70.66869;12
101I;-33.398681;-70.671049;13
101I;-33.398722;-70.672083;14
101I;-33.403091;-70.684291;15
101I;-33.40198;-70.689241;16
101I;-33.400382;-70.693581;17
101I;-33.400055;-70.696125;18
101I;-33.400242;-70.697959;19
101I;-33.402315;-70.701946;20
101I;-33.407397;-70.705474;21
101I;-33.408565;-70.705897;22
101I;-33.408507;-70.707833;23
101I;-33.418808;-70.703331;24
101I;-33.420201;-70.70403;25
101I;-33.420791;-70.701808;26
101I;-33.428473;-70.703992;27
101I;-33.428046;-70.706406;28
101I;-33.432364;-70.707198;29
101I;-33.447811;-70.70725;30
101I;-33.455479;-70.705711;31
101I;-33.464503;-70.705057;32
101I;-33.465574;-70.708135;33
101I;-33.470022;-70.717252;34
101I;-33.47334;-70.722257;35
101I;-33.480131;-70.72359;36
101I;-33.481993;-70.724653;37
101I;-33.485712;-70.724673;38
101I;-33.489168;-70.723694;39
101I;-33.491629;-70.722357;40
101I;-33.494856;-70.722364;41
101I;-33.495378;-70.722105;42
101I;-33.50006;-70.713582;43
101I;-33.500961;-70.710032;44
101I;-33.504198;-70.711809;45
101I;-33.505625;-70.713721;46
101I;-33.503817;-70.724536;47
101I;-33.502294;-70.728952;48
101I;-33.501825;-70.734397;49
101I;-33.505094;-70.73583;50
101I;-33.508445;-70.735054;51
101I;-33.508434;-70.734582;52
101R;-33.508434;-70.734582;53
101R;-33.505145;-70.735355;54
101R;-33.501892;-70.733916;55
101R;-33.502294;-70.728952;56
101R;-33.503769;-70.724748;57
101R;-33.504891;-70.718035;58
101R;-33.498602;-70.716293;59
101R;-33.495378;-70.722105;60
101R;-33.494856;-70.722364;61
101R;-33.491629;-70.722357;62
101R;-33.489168;-70.723694;63
101R;-33.485454;-70.724712;64
101R;-33.481798;-70.724506;65
101R;-33.480139;-70.723486;66
101R;-33.473683;-70.722155;67
101R;-33.473131;-70.721721;68
101R;-33.470262;-70.717134;69
101R;-33.465774;-70.707952;70
101R;-33.464507;-70.704416;71
101R;-33.46432;-70.704499;72
101R;-33.464503;-70.705057;73
101R;-33.455479;-70.705711;74
101R;-33.447811;-70.70725;75
101R;-33.432391;-70.707197;76
101R;-33.428046;-70.706406;77
101R;-33.428473;-70.703992;78
101R;-33.420713;-70.70175;79
101R;-33.420552;-70.702437;80
101R;-33.418899;-70.703331;81
101R;-33.408507;-70.707833;82
101R;-33.408625;-70.705464;83
101R;-33.405435;-70.704104;84
101R;-33.402315;-70.701946;85
101R;-33.400416;-70.698051;86
101R;-33.40008;-70.696528;87
101R;-33.400093;-70.695341;88
101R;-33.400512;-70.693134;89
101R;-33.40198;-70.689241;90
101R;-33.403304;-70.68327;91
101R;-33.402329;-70.679448;92
101R;-33.399604;-70.671837;93
101R;-33.398575;-70.670641;94
101R;-33.397591;-70.668878;95
101R;-33.3958;-70.657556;96
101R;-33.395295;-70.652423;97
101R;-33.396311;-70.644444;98
101R;-33.396892;-70.643181;99
101R;-33.400082;-70.629154;100
101R;-33.401154;-70.629958;101
101R;-33.406175;-70.623244;102
101cI;-33.463178;-70.695377;103
101cI;-33.462398;-70.693314;104
101cI;-33.460745;-70.693397;105
101cI;-33.460667;-70.691776;106
101cI;-33.459033;-70.691874;107
101cI;-33.459737;-70.694044;108
101cI;-33.45271;-70.696675;109
101cI;-33.454309;-70.701639;110
101cI;-33.456047;-70.705724;111
101cI;-33.464503;-70.705057;112
101cI;-33.465574;-70.708135;113
101cI;-33.470022;-70.717252;114
101cI;-33.47334;-70.722257;115
101cI;-33.480131;-70.72359;116
101cI;-33.481752;-70.724623;117
101cI;-33.485074;-70.724733;118
101cI;-33.489168;-70.723694;119
101cI;-33.491629;-70.722357;120
101cI;-33.495029;-70.722307;121
101cI;-33.495937;-70.721283;122
101cI;-33.50006;-70.713582;123
101cI;-33.500961;-70.710032;124
101cI;-33.504198;-70.711809;125
101cI;-33.505625;-70.713721;126
101cI;-33.503817;-70.724536;127
101cI;-33.502294;-70.728952;128
101cI;-33.501825;-70.734397;129
101cI;-33.505094;-70.73583;130
101cI;-33.508445;-70.735054;131
101cI;-33.508434;-70.734582;132
101cR;-33.508434;-70.734582;133
101cR;-33.505145;-70.735355;134
101cR;-33.501892;-70.733916;135
101cR;-33.502294;-70.728952;136
101cR;-33.503769;-70.724748;137
101cR;-33.504891;-70.718035;138
101cR;-33.498602;-70.716293;139
101cR;-33.495378;-70.722105;140
101cR;-33.494856;-70.722364;141
101cR;-33.491629;-70.722357;142
101cR;-33.489168;-70.723694;143
101cR;-33.485454;-70.724712;144
101cR;-33.481798;-70.724506;145
101cR;-33.480139;-70.723486;146
101cR;-33.473353;-70.721962;147
101cR;-33.470195;-70.717004;148
101cR;-33.465774;-70.707952;149
101cR;-33.464507;-70.704416;150
101cR;-33.46432;-70.704499;151
101cR;-33.464503;-70.705057;152
101cR;-33.459171;-70.705427;153
101cR;-33.457475;-70.705233;154
101cR;-33.45536;-70.697221;155
101cR;-33.463178;-70.695377;156
102I;-33.463178;-70.695377;157
102I;-33.462398;-70.693314;158
102I;-33.460745;-70.693397;159
102I;-33.460667;-70.691776;160
102I;-33.459033;-70.691874;161
102I;-33.459737;-70.694044;162
102I;-33.45271;-70.696675;163
102I;-33.454309;-70.701639;164
102I;-33.456047;-70.705724;165
102I;-33.47187;-70.704311;166
102I;-33.478664;-70.702451;167
102I;-33.483374;-70.695824;168
102I;-33.484747;-70.691786;169
102I;-33.484634;-70.691087;170
102I;-33.483885;-70.689941;171
102I;-33.484029;-70.689061;172
102I;-33.486727;-70.686344;173
102I;-33.488178;-70.684059;174
102I;-33.491499;-70.680137;175
102I;-33.498807;-70.67031;176
102I;-33.499359;-70.669273;177
102I;-33.500067;-70.667528;178
102I;-33.503728;-70.65439;179
102I;-33.507281;-70.638546;180
102I;-33.507118;-70.631997;181
102I;-33.507813;-70.623115;182
102I;-33.508453;-70.609389;183
102I;-33.509777;-70.592397;184
102I;-33.50992;-70.591425;185
